"plan_id","totalpensionliability","netpensionliability","year"
864,4.44316E+6,109658,"2020"
864,4.55774E+6,-738231,"2021"
879,2.32756E+6,810630,"2016"
879,2.35961E+6,732579,"2017"
879,2.41061E+6,696361,"2018"
879,2.51514E+6,759542,"2019"
879,2.5674E+6,858244,"2020"
879,2.59342E+6,487895,"2021"
880,3.6424E+6,1.2644E+6,"2016"
880,3.72031E+6,1.15774E+6,"2017"
880,3.88462E+6,1.19332E+6,"2018"
880,3.9664E+6,1.21614E+6,"2019"
880,4.06922E+6,1.42376E+6,"2020"
880,4.18976E+6,860926,"2021"
893,4.73E+7,2.23579E+7,"2016"
893,5.0024E+7,2.28854E+7,"2017"
893,5.2503E+7,2.37113E+7,"2018"
893,5.4751E+7,2.5214E+7,"2019"
893,5.78628E+7,2.85548E+7,"2020"
893,5.9795E+7,2.27069E+7,"2021"
896,3.776E+7,1.37888E+7,"2016"
896,3.9107E+7,1.28248E+7,"2017"
896,4.1225E+7,1.323E+7,"2018"
896,4.3398E+7,1.46342E+7,"2019"
896,4.5725E+7,1.71577E+7,"2020"
896,4.6476E+7,1.04365E+7,"2021"
932,1.00117E+7,4.1606E+6,"2016"
932,1.07862E+7,4.01966E+6,"2017"
932,1.09891E+7,4.58614E+6,"2018"
932,1.19647E+7,4.5576E+6,"2019"
932,1.22784E+7,3.97351E+6,"2020"
932,1.2945E+7,3.4614E+6,"2021"
954,6.897E+7,2.55094E+7,"2016"
954,7.35013E+7,2.64895E+7,"2017"
954,8.10443E+7,3.07008E+7,"2018"
954,8.46434E+7,3.37862E+7,"2019"
954,8.64903E+7,3.50341E+7,"2020"
954,8.75694E+7,2.42373E+7,"2021"
955,1.62722E+7,5.29183E+6,"2016"
955,1.69999E+7,5.19281E+6,"2017"
955,1.84449E+7,6.04689E+6,"2018"
955,1.88955E+7,6.66765E+6,"2019"
955,1.87731E+7,6.7456E+6,"2020"
955,1.85468E+7,4.06518E+6,"2021"
989,2.9744E+6,1.00461E+6,"2016"
989,2.98319E+6,953542,"2017"
989,2.87019E+6,833929,"2018"
989,2.86801E+6,938836,"2019"
989,2.8668E+6,1.11814E+6,"2020"
989,2.91423E+6,881683,"2021"
990,3.85949E+6,866731,"2016"
990,3.81888E+6,852942,"2017"
990,3.82024E+6,892339,"2018"
990,3.79145E+6,961637,"2019"
990,3.77386E+6,1.17256E+6,"2020"
990,3.78575E+6,778187,"2021"
1004,2.61144E+7,8.1195E+6,"2016"
1004,2.64845E+7,6.38393E+6,"2017"
1004,2.71011E+7,5.54759E+6,"2018"
1004,2.79697E+7,5.52878E+6,"2019"
1004,2.86269E+7,5.99546E+6,"2020"
1004,3.28581E+7,4.27045E+6,"2021"
1005,1.11113E+7,4.01317E+6,"2016"
1005,9.269E+6,1.35012E+6,"2017"
1005,9.5528E+6,1.0659E+6,"2018"
1005,9.90915E+6,1.0646E+6,"2019"
1005,1.02916E+7,1.31811E+6,"2020"
1005,1.217E+7,771894,"2021"
1012,2.3622E+7,1.23989E+7,"2016"
1012,1.99035E+7,7.41791E+6,"2017"
1012,1.46795E+7,1.38607E+6,"2018"
1012,1.51791E+7,1.40685E+6,"2019"
1012,1.51838E+7,1.32815E+6,"2020"
1012,1.75216E+7,81529,"2021"
1014,4.32768E+7,2.38524E+7,"2016"
1014,4.12199E+7,1.99618E+7,"2017"
1014,2.8643E+7,6.28094E+6,"2018"
1014,2.92501E+7,6.37402E+6,"2019"
1014,3.01331E+7,7.38813E+6,"2020"
1014,3.27381E+7,4.3763E+6,"2021"
1279,1.59257E+6,632904,"2016"
1279,1.61121E+6,578959,"2017"
1279,1.67619E+6,605621,"2018"
1279,1.69172E+6,611177,"2019"
1279,1.69124E+6,653623,"2020"
1279,1.72962E+6,434557,"2021"
1281,4.19975E+7,1.78625E+7,"2016"
1281,4.31665E+7,1.66234E+7,"2017"
1281,4.43962E+7,1.6633E+7,"2018"
1281,4.57986E+7,1.7592E+7,"2019"
1281,4.71862E+7,1.93588E+7,"2020"
1281,4.9997E+7,1.47804E+7,"2021"
1285,4.17446E+7,7.44065E+6,"2016"
1285,4.45018E+7,7.22152E+6,"2017"
1285,4.6702E+7,7.44246E+6,"2018"
1285,4.79738E+7,7.38007E+6,"2019"
1285,4.9641E+7,8.93072E+6,"2020"
1285,5.28343E+7,2.21378E+6,"2021"
1286,4.80967E+6,802335,"2016"
1286,5.20937E+6,762951,"2017"
1286,5.54248E+6,772712,"2018"
1286,5.80948E+6,790961,"2019"
1286,6.0894E+6,970557,"2020"
1286,6.56085E+6,107692,"2021"
1287,1.27512E+7,4.642E+6,"2016"
1287,1.31523E+7,5.20692E+6,"2017"
1287,1.36128E+7,5.57826E+6,"2018"
1287,1.39576E+7,6.04116E+6,"2019"
1287,1.42584E+7,6.34758E+6,"2020"
1287,1.51106E+7,5.59072E+6,"2021"
1288,3.76173E+6,1.76966E+6,"2016"
1288,3.80244E+6,1.63267E+6,"2017"
